id,name,kg,category,hops,cypher
CT03,Trial sites (sample),CT,1_hop,1,"MATCH (t:ClinicalTrial)-[:CONDUCTED_AT]->(s:Site) RETURN t.nct_id, s.name, s.country LIMIT 10"
CT04,Trial outcomes (sample),CT,1_hop,1,"MATCH (t:ClinicalTrial)-[:MEASURES]->(o:Outcome) RETURN t.nct_id, o.title LIMIT 10"
CT05,Trial sponsors (sample),CT,1_hop,1,"MATCH (t:ClinicalTrial)-[:SPONSORED_BY]->(sp:Sponsor) RETURN t.nct_id, sp.name LIMIT 10"
CT06,Trial conditions (sample),CT,1_hop,1,"MATCH (t:ClinicalTrial)-[:STUDIES]->(cond:Condition) RETURN t.nct_id, cond.name LIMIT 10"
CT07,Trial arm groups,CT,1_hop,1,"MATCH (t:ClinicalTrial)-[:HAS_ARM]->(arm:ArmGroup) RETURN t.nct_id, arm.title LIMIT 10"
CT08,Trials per country,CT,aggregation,1,"MATCH (t:ClinicalTrial)-[:CONDUCTED_AT]->(s:Site) RETURN s.country, count(DISTINCT t) AS trials ORDER BY trials DESC LIMIT 15"
CT09,Most common interventions,CT,aggregation,1,"MATCH (t:ClinicalTrial)-[:TESTS]->(i:Intervention) RETURN i.name, count(t) AS trials ORDER BY trials DESC LIMIT 15"
CT10,Most common adverse events,CT,aggregation,1,"MATCH (t:ClinicalTrial)-[:REPORTED]->(ae:AdverseEvent) RETURN ae.term, count(DISTINCT t) AS trials ORDER BY trials DESC LIMIT 15"
CT11,Most studied conditions,CT,aggregation,1,"MATCH (t:ClinicalTrial)-[:STUDIES]->(cond:Condition) RETURN cond.name, count(t) AS trials ORDER BY trials DESC LIMIT 15"
CT12,Top sponsors,CT,aggregation,1,"MATCH (t:ClinicalTrial)-[:SPONSORED_BY]->(sp:Sponsor) RETURN sp.name, count(t) AS trials ORDER BY trials DESC LIMIT 10"
CT13,Interventions for cancer trials,CT,2_hop,2,"MATCH (cond:Condition)<-[:STUDIES]-(t:ClinicalTrial) WHERE cond.name CONTAINS 'Cancer' WITH t LIMIT 5000 MATCH (t)-[:TESTS]->(i:Intervention) RETURN i.name, count(DISTINCT t) AS trials ORDER BY trials DESC LIMIT 10"
CT14,Adverse events for diabetes trials,CT,2_hop,2,"MATCH (cond:Condition)<-[:STUDIES]-(t:ClinicalTrial) WHERE cond.name CONTAINS 'Diabetes' WITH t LIMIT 5000 MATCH (t)-[:REPORTED]->(ae:AdverseEvent) RETURN ae.term, count(DISTINCT t) AS trials ORDER BY trials DESC LIMIT 10"
CT15,Sites running the most trials,CT,aggregation,1,"MATCH (t:ClinicalTrial)-[:CONDUCTED_AT]->(s:Site) WHERE s.country = 'United States' RETURN s.name, count(t) AS trials ORDER BY trials DESC LIMIT 10"
CT16,Condition -> Intervention -> AE chain,CT,3_hop,3,"MATCH (cond:Condition)<-[:STUDIES]-(t:ClinicalTrial)-[:TESTS]->(i:Intervention) WHERE cond.name CONTAINS 'Hypertension' WITH t, i LIMIT 2000 MATCH (t)-[:REPORTED]->(ae:AdverseEvent) RETURN i.name, ae.term, count(DISTINCT t) AS trials ORDER BY trials DESC LIMIT 10"
CT17,Sponsors funding cancer research,CT,2_hop,2,"MATCH (cond:Condition)<-[:STUDIES]-(t:ClinicalTrial) WHERE cond.name CONTAINS 'Cancer' WITH t LIMIT 5000 MATCH (t)-[:SPONSORED_BY]->(sp:Sponsor) RETURN sp.name, count(DISTINCT t) AS trials ORDER BY trials DESC LIMIT 10"
CT19,Trial publications,CT,1_hop,1,"MATCH (t:ClinicalTrial)-[:PUBLISHED_IN]->(pub:Publication) RETURN t.nct_id, pub.citation LIMIT 10"
CT20,Multi-arm trials with adverse events,CT,2_hop,2,"MATCH (t:ClinicalTrial)-[:HAS_ARM]->(arm:ArmGroup) WITH t, count(arm) AS arms WHERE arms >= 4 WITH t, arms ORDER BY arms DESC LIMIT 100 MATCH (t)-[:REPORTED]->(ae:AdverseEvent) RETURN t.nct_id, arms, ae.term LIMIT 10"
CT21,Trial primary completion year distribution,CT,aggregation,0,"MATCH (t:ClinicalTrial) WHERE t.primary_completion_date IS NOT NULL RETURN substring(t.primary_completion_date, 0, 4) AS year, count(t) AS trials ORDER BY year DESC LIMIT 10"
HERO,Drug + Trial + Pathway federation (paper Section 3.5),XK,4_hop,4,"MATCH (d:Drug)-[:HAS_SIDE_EFFECT]->(se:SideEffect) WHERE se.name CONTAINS 'Gastrointestinal' WITH d, se LIMIT 100 MATCH (i:Intervention {name: d.name})<-[:TESTS]-(ct:ClinicalTrial) WHERE ct.phase CONTAINS '3' AND ct.condition CONTAINS 'Breast' WITH d, se, ct LIMIT 50 MATCH (d)-[:INTERACTS_WITH_GENE]->(g:Gene) MATCH (p:Protein {gene_name: g.gene_name})-[:PARTICIPATES_IN]->(pw:Pathway) RETURN d.name, se.name, ct.nct_id, pw.name, g.gene_name LIMIT 20"
XK01,Drug -> Gene -> Protein bridge,XK,2_hop,2,"MATCH (d:Drug) WHERE toLower(d.name) = 'metformin' WITH d LIMIT 1 MATCH (d)-[:INTERACTS_WITH_GENE]->(g:Gene) WITH g.gene_name AS gn MATCH (p:Protein) WHERE p.gene_name = gn RETURN gn, p.uniprot_id LIMIT 10"
XK02,Trial -> Drug -> Gene pipeline,XK,3_hop,3,"MATCH (t:ClinicalTrial)-[:TESTS]->(i:Intervention) WHERE i.name CONTAINS 'Aspirin' WITH t LIMIT 5 MATCH (d:Drug) WHERE toLower(d.name) = 'aspirin' WITH t, d LIMIT 1 MATCH (d)-[:INTERACTS_WITH_GENE]->(g:Gene) RETURN t.nct_id, d.name, g.gene_name LIMIT 10"
XK03,Drugs targeting kinases (DI + PW),XK,2_hop,2,"MATCH (d:Drug)-[:INTERACTS_WITH_GENE]->(g:Gene) WITH g.gene_name AS gn, d MATCH (p:Protein) WHERE p.gene_name = gn AND p.name IS NOT NULL AND p.name CONTAINS 'kinase' RETURN d.name, gn, p.name LIMIT 10"
XK04,Drugs in cancer trials with pathway context,XK,4_hop,4,"MATCH (cond:Condition)<-[:STUDIES]-(t:ClinicalTrial)-[:TESTS]->(i:Intervention) WHERE cond.name CONTAINS 'Cancer' WITH i LIMIT 50 MATCH (d:Drug) WHERE toLower(d.name) = toLower(i.name) WITH d LIMIT 20 MATCH (d)-[:INTERACTS_WITH_GENE]->(g:Gene) RETURN d.name, g.gene_name LIMIT 10"
